Trade_ID,Account_ID,Broker_ID,Company_ID,Action,Transaction Date,Time,No. of shares,Price / share,Trade_Type,Tax_Amount
TRD000071,ACC031,BRK011,CMP020,Market buy,27-11-2020,17:02:08,2,135.96,BUY,0
TRD000072,ACC031,BRK007,CMP002,Market buy,27-11-2020,17:03:30,2,104.98,BUY,0
TRD000073,ACC074,BRK006,CMP069,Market buy,27-11-2020,17:06:20,10,33.38,BUY,0
TRD000074,ACC022,BRK002,CMP065,Market buy,27-11-2020,17:08:26,4,33.04,BUY,0
TRD000075,ACC003,BRK007,CMP080,Market buy,27-11-2020,17:10:28,2,64.69,BUY,0
TRD000076,ACC034,BRK013,CMP020,Market buy,01-12-2020,18:25:27,1,135.39,BUY,0
TRD000077,ACC012,BRK004,CMP069,Market buy,01-12-2020,18:25:53,8,32.71,BUY,0
TRD000078,ACC043,BRK007,CMP002,Market buy,01-12-2020,18:26:48,2,104.5,BUY,0
TRD000079,ACC036,BRK012,CMP049,Market sell,02-12-2020,08:00:36,1,854.2,SELL,0
TRD000080,ACC048,BRK009,CMP065,Market buy,04-12-2020,16:50:46,6,42.73,BUY,0
TRD000081,ACC010,BRK009,CMP002,Market buy,09-12-2020,15:28:47,2,108.59,BUY,0
TRD000082,ACC068,BRK002,CMP071,Market buy,09-12-2020,15:30:51,5,31.49,BUY,0
TRD000083,ACC055,BRK002,CMP008,Market buy,14-12-2020,14:30:03,1,78.05,BUY,0
TRD000084,ACC054,BRK011,CMP008,Market buy,14-12-2020,14:30:05,3,78.05,BUY,0
TRD000085,ACC020,BRK004,CMP081,Market buy,14-12-2020,14:30:06,2,116.32,BUY,0
TRD000086,ACC075,BRK015,CMP081,Market buy,14-12-2020,14:30:07,1,116.32,BUY,0
TRD000087,ACC034,BRK011,CMP044,Market buy,14-12-2020,14:30:13,3,82.8,BUY,0
TRD000088,ACC012,BRK013,CMP051,Market buy,14-12-2020,14:30:37,20,8.35,BUY,0
TRD000089,ACC049,BRK008,CMP065,Market buy,18-12-2020,14:30:04,15,52.41,BUY,0
TRD000090,ACC066,BRK005,CMP005,Market buy,18-12-2020,14:30:08,1,223.01,BUY,0
TRD000091,ACC066,BRK014,CMP035,Market buy,18-12-2020,14:30:19,2,153.75,BUY,0
TRD000092,ACC042,BRK004,CMP065,Market buy,22-12-2020,16:24:42,5,63.27,BUY,0
TRD000093,ACC004,BRK013,CMP065,Market buy,23-12-2020,14:30:13,5,70.44,BUY,0
TRD000094,ACC036,BRK003,CMP048,Market sell,23-12-2020,14:30:38,0.8,524.75,SELL,0
TRD000095,ACC057,BRK013,CMP065,Market buy,23-12-2020,14:31:14,6,70.52,BUY,0
TRD000096,ACC036,BRK005,CMP009,Market buy,31-12-2020,20:39:31,2,22.35,BUY,0
TRD000097,ACC030,BRK008,CMP060,Market buy,04-01-2021,14:31:00,10,18.79,BUY,0
TRD000098,ACC064,BRK015,CMP009,Market buy,04-01-2021,14:34:04,10,26.69,BUY,0
TRD000099,ACC025,BRK001,CMP009,Market buy,04-01-2021,14:57:58,5,31.4,BUY,0
TRD000100,ACC072,BRK011,CMP060,Market buy,08-01-2021,15:41:15,15,25.8,BUY,0
TRD000101,ACC034,BRK012,CMP012,Market buy,14-01-2021,15:57:23,6,49.91,BUY,0
TRD000102,ACC019,BRK008,CMP012,Market buy,21-01-2021,17:10:46,2,48.86,BUY,0
TRD000103,ACC017,BRK003,CMP083,Market buy,25-01-2021,14:30:23,1,45.34,BUY,0
TRD000104,ACC017,BRK008,CMP083,Market buy,25-01-2021,14:30:23,1,45.34,BUY,0
TRD000105,ACC032,BRK009,CMP005,Market buy,25-01-2021,14:31:06,1,224,BUY,0
TRD000106,ACC037,BRK005,CMP080,Market buy,28-01-2021,14:30:04,6,60.54,BUY,0
TRD000107,ACC054,BRK001,CMP078,Market buy,28-01-2021,14:30:08,6,55.16,BUY,0
TRD000108,ACC014,BRK014,CMP031,Market buy,28-01-2021,14:30:22,1,201,BUY,0
TRD000109,ACC073,BRK009,CMP076,Market buy,28-01-2021,14:30:25,2,200,BUY,0
TRD000110,ACC063,BRK009,CMP041,Market buy,01-02-2021,14:30:06,1,113.22,BUY,0
TRD000111,ACC028,BRK008,CMP021,Market buy,01-02-2021,14:30:24,2,207.86,BUY,0
TRD000112,ACC011,BRK008,CMP081,Market buy,01-02-2021,14:30:32,2,112,BUY,0
TRD000113,ACC009,BRK013,CMP062,Market buy,05-02-2021,14:30:22,4,179,BUY,0
TRD000114,ACC032,BRK004,CMP009,Market sell,10-02-2021,14:30:08,17,24.6,SELL,0
TRD000115,ACC022,BRK002,CMP062,Market buy,10-02-2021,14:59:25,2,216.02,BUY,0
TRD000116,ACC062,BRK012,CMP062,Market buy,12-02-2021,14:33:31,1,213.58,BUY,0
TRD000117,ACC013,BRK008,CMP062,Market buy,12-02-2021,17:30:57,1,213.39,BUY,0
TRD000118,ACC058,BRK009,CMP042,Market sell,16-02-2021,14:30:13,12,270.11,SELL,0
TRD000119,ACC072,BRK003,CMP060,Market buy,16-02-2021,14:33:11,25,56.25,BUY,0
TRD000120,ACC019,BRK015,CMP062,Market buy,16-02-2021,14:35:02,6,218.01,BUY,0
TRD000121,ACC063,BRK005,CMP060,Market buy,16-02-2021,14:36:26,10,57.43,BUY,0
TRD000122,ACC010,BRK005,CMP051,Market buy,17-02-2021,19:02:57,5,8.36,BUY,0
TRD000123,ACC069,BRK009,CMP081,Market buy,17-02-2021,16:41:42,10,112.57,BUY,0
TRD000124,ACC007,BRK001,CMP019,Market buy,17-02-2021,16:41:54,23,184.06,BUY,0
TRD000125,ACC024,BRK011,CMP043,Market buy,17-02-2021,16:42:21,17,176.59,BUY,0
TRD000126,ACC043,BRK002,CMP076,Market buy,17-02-2021,16:42:53,7,207.25,BUY,0
TRD000127,ACC055,BRK012,CMP078,Market buy,17-02-2021,16:43:27,21,56.47,BUY,0
TRD000128,ACC008,BRK004,CMP075,Market buy,17-02-2021,16:43:54,8,210.13,BUY,0
TRD000129,ACC047,BRK010,CMP072,Market buy,17-02-2021,16:44:15,22,190.75,BUY,0
TRD000130,ACC008,BRK011,CMP006,Market buy,17-02-2021,16:44:46,62,59.28,BUY,0
TRD000131,ACC055,BRK015,CMP067,Market buy,17-02-2021,16:45:50,20,107.65,BUY,0
TRD000132,ACC008,BRK005,CMP070,Market buy,17-02-2021,16:47:16,25,70.71,BUY,0
TRD000133,ACC040,BRK001,CMP053,Market buy,17-02-2021,16:47:45,25,61.93,BUY,0
TRD000134,ACC050,BRK001,CMP059,Market buy,17-02-2021,16:48:08,2,143.76,BUY,0
TRD000135,ACC043,BRK012,CMP058,Market buy,17-02-2021,16:48:36,7,233.24,BUY,0
TRD000136,ACC052,BRK005,CMP057,Market buy,17-02-2021,16:49:01,36,36.42,BUY,0
TRD000137,ACC044,BRK009,CMP056,Market buy,17-02-2021,16:49:29,47,15.53,BUY,0
TRD000138,ACC061,BRK014,CMP054,Market buy,17-02-2021,16:50:00,16,37.08,BUY,0
TRD000139,ACC067,BRK005,CMP052,Market buy,17-02-2021,16:50:25,286,3.99,BUY,0
TRD000140,ACC038,BRK015,CMP061,Market buy,17-02-2021,16:50:53,100,9.85,BUY,0
TRD000141,ACC059,BRK015,CMP061,Market buy,17-02-2021,16:50:53,60,9.85,BUY,0
TRD000142,ACC018,BRK010,CMP044,Market buy,17-02-2021,16:51:19,16,75.84,BUY,0
TRD000143,ACC028,BRK009,CMP041,Market buy,17-02-2021,16:51:43,13,118.54,BUY,0
TRD000144,ACC052,BRK014,CMP037,Market buy,17-02-2021,16:52:07,27,41.71,BUY,0
TRD000145,ACC038,BRK005,CMP035,Market buy,17-02-2021,16:52:30,7,165.94,BUY,0
TRD000146,ACC042,BRK002,CMP033,Market buy,17-02-2021,16:52:57,15,112.07,BUY,0
TRD000147,ACC068,BRK008,CMP031,Market buy,17-02-2021,16:53:26,7,202.01,BUY,0
TRD000148,ACC041,BRK007,CMP029,Market buy,17-02-2021,16:53:53,12,279,BUY,0
TRD000149,ACC029,BRK014,CMP030,Market buy,17-02-2021,16:54:22,63,43.92,BUY,0
TRD000150,ACC008,BRK011,CMP028,Market buy,17-02-2021,16:54:45,45,60.33,BUY,0
TRD000151,ACC009,BRK010,CMP026,Market buy,17-02-2021,16:55:20,129,19.74,BUY,0
TRD000152,ACC075,BRK006,CMP023,Market buy,17-02-2021,16:55:41,15,118.23,BUY,0
TRD000153,ACC008,BRK006,CMP083,Market buy,17-02-2021,16:56:02,30,45.4,BUY,0
TRD000154,ACC034,BRK011,CMP021,Market buy,17-02-2021,16:56:21,7,208.25,BUY,0
TRD000155,ACC032,BRK013,CMP016,Market buy,17-02-2021,16:56:44,21,72.16,BUY,0
TRD000156,ACC011,BRK012,CMP013,Market buy,17-02-2021,16:57:03,5,354.32,BUY,0
TRD000157,ACC036,BRK015,CMP012,Market buy,17-02-2021,16:57:24,22,52.88,BUY,0
TRD000158,ACC024,BRK006,CMP017,Market buy,17-02-2021,16:57:53,75,31.68,BUY,0
TRD000159,ACC038,BRK012,CMP011,Market buy,17-02-2021,16:58:11,21,201.05,BUY,0
TRD000160,ACC042,BRK015,CMP007,Market buy,17-02-2021,16:58:31,2,477.05,BUY,0
TRD000161,ACC050,BRK009,CMP010,Market buy,17-02-2021,16:58:51,20,168.07,BUY,0
TRD000162,ACC028,BRK005,CMP071,Market buy,17-02-2021,16:59:16,40,29.41,BUY,0
TRD000163,ACC048,BRK007,CMP001,Market buy,17-02-2021,16:59:36,20,130.22,BUY,0
TRD000164,ACC064,BRK006,CMP051,Market buy,17-02-2021,17:00:03,110,8.35,BUY,0
TRD000165,ACC026,BRK006,CMP008,Market buy,17-02-2021,17:00:16,15,78.26,BUY,0
TRD000166,ACC021,BRK003,CMP002,Market buy,17-02-2021,17:00:34,10,106.44,BUY,0
TRD000167,ACC057,BRK005,CMP002,Market buy,17-02-2021,17:00:34,6,106.44,BUY,0
TRD000168,ACC024,BRK004,CMP073,Market buy,17-02-2021,17:01:17,27,59.77,BUY,0
TRD000169,ACC035,BRK005,CMP082,Market buy,17-02-2021,17:02:02,15,43.21,BUY,0
TRD000170,ACC047,BRK010,CMP015,Market buy,17-02-2021,17:02:43,45,12.32,BUY,0
TRD000171,ACC019,BRK002,CMP015,Market sell,17-02-2021,17:06:07,45,12.3,SELL,0
TRD000172,ACC049,BRK010,CMP060,Market buy,17-02-2021,17:06:27,10,67.48,BUY,0
TRD000173,ACC023,BRK006,CMP062,Market buy,17-02-2021,17:07:20,5,210.76,BUY,0
TRD000174,ACC010,BRK004,CMP060,Market buy,17-02-2021,17:07:58,3,67.49,BUY,0
TRD000175,ACC018,BRK014,CMP082,Market sell,18-02-2021,14:30:09,15,43.18,SELL,0
TRD000176,ACC057,BRK006,CMP054,Market buy,18-02-2021,17:30:37,17,36.83,BUY,0
TRD000177,ACC020,BRK012,CMP073,Market sell,19-02-2021,14:30:05,27,58.35,SELL,0.02
TRD000178,ACC066,BRK011,CMP063,Market buy,19-02-2021,15:08:10,30,48.8,BUY,0
TRD000179,ACC018,BRK014,CMP063,Market buy,19-02-2021,15:09:04,3,48.79,BUY,0
TRD000180,ACC031,BRK009,CMP066,Market sell,22-02-2021,14:30:14,2,286,SELL,0
TRD000181,ACC015,BRK001,CMP060,Market buy,22-02-2021,15:06:54,8,67.63,BUY,0
TRD000182,ACC060,BRK013,CMP052,Market buy,23-02-2021,19:54:09,15,4.11,BUY,0
TRD000183,ACC069,BRK013,CMP052,Market buy,24-02-2021,16:13:16,35,4.29,BUY,0
TRD000184,ACC036,BRK010,CMP051,Market buy,24-02-2021,16:18:42,15,8.51,BUY,0
TRD000185,ACC021,BRK013,CMP037,Market buy,25-02-2021,14:30:03,8,42.38,BUY,0
TRD000186,ACC053,BRK010,CMP051,Market buy,25-02-2021,14:30:15,40,8.56,BUY,0
TRD000187,ACC032,BRK004,CMP083,Market buy,26-02-2021,14:30:02,2,43.32,BUY,0
TRD000188,ACC012,BRK005,CMP083,Market buy,26-02-2021,14:30:02,8,43.32,BUY,0
TRD000189,ACC055,BRK004,CMP008,Market buy,26-02-2021,14:30:03,3,74.81,BUY,0
TRD000190,ACC016,BRK003,CMP008,Market buy,26-02-2021,14:30:03,1,74.81,BUY,0
TRD000191,ACC022,BRK009,CMP035,Market buy,01-03-2021,14:30:44,2,161.06,BUY,0
TRD000192,ACC031,BRK008,CMP044,Market buy,01-03-2021,14:30:46,5,73.11,BUY,0
TRD000193,ACC002,BRK001,CMP051,Market buy,10-03-2021,16:43:57,3,8.61,BUY,0
TRD000194,ACC036,BRK002,CMP078,Market buy,22-03-2021,13:30:13,2,55.99,BUY,0
TRD000195,ACC015,BRK001,CMP016,Market buy,25-03-2021,18:29:50,4,73.72,BUY,0
TRD000196,ACC053,BRK013,CMP037,Market buy,29-03-2021,13:30:52,1,42.93,BUY,0
TRD000197,ACC063,BRK009,CMP005,Market buy,30-03-2021,14:53:47,1,237.64,BUY,0
TRD000198,ACC045,BRK013,CMP012,Market buy,30-03-2021,14:56:12,6,54.69,BUY,0
TRD000199,ACC028,BRK009,CMP041,Market buy,30-03-2021,15:00:44,2,118.96,BUY,0
TRD000200,ACC066,BRK008,CMP033,Market buy,30-03-2021,15:09:48,3,111.94,BUY,0
TRD000201,ACC073,BRK015,CMP078,Market buy,30-03-2021,15:13:27,4,58.32,BUY,0
TRD000202,ACC069,BRK008,CMP063,Market buy,30-03-2021,15:16:53,1,51.34,BUY,0
TRD000203,ACC026,BRK011,CMP052,Market buy,30-03-2021,15:04:54,7,4.51,BUY,0
TRD000204,ACC050,BRK011,CMP037,Market buy,05-04-2021,18:58:40,1,42.95,BUY,0
TRD000205,ACC065,BRK001,CMP052,Market buy,05-04-2021,19:03:31,4,4.52,BUY,0
TRD000206,ACC032,BRK007,CMP002,Market sell,06-04-2021,13:30:29,6,105.49,SELL,0
TRD000207,ACC053,BRK003,CMP063,Market buy,06-04-2021,13:30:03,1,51.9,BUY,0
TRD000208,ACC047,BRK005,CMP076,Market buy,06-04-2021,13:30:04,1,217.69,BUY,0
TRD000209,ACC031,BRK001,CMP008,Market buy,06-04-2021,13:30:23,5,76.69,BUY,0
TRD000210,ACC034,BRK001,CMP002,Market buy,06-04-2021,13:48:51,6,105.79,BUY,0
TRD000211,ACC014,BRK013,CMP052,Market buy,06-04-2021,13:51:01,10,4.55,BUY,0
TRD000212,ACC048,BRK002,CMP005,Market sell,07-04-2021,13:30:03,8,243.34,SELL,0
TRD000213,ACC002,BRK005,CMP005,Market buy,07-04-2021,13:53:53,7,244.33,BUY,0
TRD000214,ACC017,BRK015,CMP005,Market buy,07-04-2021,13:54:07,1,244.26,BUY,0
TRD000215,ACC045,BRK003,CMP008,Market sell,08-04-2021,14:12:40,8,77.06,SELL,0
TRD000216,ACC021,BRK001,CMP063,Market sell,08-04-2021,14:15:37,1,51.18,SELL,0
TRD000217,ACC046,BRK014,CMP008,Market buy,08-04-2021,14:14:11,8,77.26,BUY,0
TRD000218,ACC017,BRK007,CMP063,Market buy,08-04-2021,14:16:20,1,51.27,BUY,0
TRD000219,ACC023,BRK009,CMP071,Market sell,09-04-2021,13:30:32,38,30.01,SELL,0
TRD000220,ACC014,BRK007,CMP046,Market sell,09-04-2021,13:48:53,42,77.95,SELL,0
TRD000221,ACC007,BRK007,CMP071,Market buy,09-04-2021,13:44:16,37,30.15,BUY,0
TRD000222,ACC048,BRK005,CMP071,Market buy,09-04-2021,13:44:51,1,30.16,BUY,0
TRD000223,ACC013,BRK003,CMP046,Market buy,09-04-2021,13:50:32,40,78.01,BUY,0
TRD000224,ACC041,BRK012,CMP046,Market buy,09-04-2021,13:50:44,2,78,BUY,0
TRD000225,ACC050,BRK003,CMP017,Market sell,12-04-2021,13:30:05,27,28.61,SELL,0
TRD000226,ACC009,BRK002,CMP020,Market sell,12-04-2021,14:08:31,16,140.42,SELL,0
TRD000227,ACC045,BRK004,CMP017,Market buy,12-04-2021,14:06:47,27,28.49,BUY,0
TRD000228,ACC033,BRK010,CMP020,Market buy,12-04-2021,14:09:31,15,140.49,BUY,0
TRD000229,ACC052,BRK002,CMP020,Market buy,12-04-2021,14:09:40,1,140.5,BUY,0
TRD000230,ACC040,BRK004,CMP024,Market sell,13-04-2021,13:30:02,16,69.5,SELL,0
TRD000231,ACC049,BRK003,CMP044,Market sell,13-04-2021,13:58:34,8,76.52,SELL,0
TRD000232,ACC017,BRK001,CMP016,Market sell,13-04-2021,14:01:11,4,73.87,SELL,0
TRD000233,ACC011,BRK012,CMP024,Market buy,13-04-2021,13:57:05,15,69.13,BUY,0
TRD000234,ACC070,BRK014,CMP024,Market buy,13-04-2021,13:57:17,1,69.12,BUY,0
TRD000235,ACC047,BRK014,CMP044,Market buy,13-04-2021,13:59:31,8,76.54,BUY,0
TRD000236,ACC043,BRK005,CMP016,Market buy,13-04-2021,14:01:52,4,73.94,BUY,0
TRD000237,ACC047,BRK006,CMP012,Market sell,14-04-2021,13:30:02,14,53.53,SELL,0
TRD000238,ACC038,BRK001,CMP012,Market buy,14-04-2021,15:12:57,14,53.7,BUY,0
TRD000239,ACC006,BRK011,CMP021,Market sell,15-04-2021,13:30:03,2,218.78,SELL,0
TRD000240,ACC048,BRK014,CMP083,Market sell,15-04-2021,14:25:06,12,47.05,SELL,0
TRD000241,ACC020,BRK004,CMP031,Market sell,15-04-2021,15:34:41,1,229.28,SELL,0
TRD000242,ACC035,BRK004,CMP078,Market sell,15-04-2021,15:38:37,12,57.7,SELL,0
TRD000243,ACC004,BRK014,CMP021,Market buy,15-04-2021,14:22:53,2,219.85,BUY,0
TRD000244,ACC061,BRK007,CMP083,Market buy,15-04-2021,14:26:06,12,47.04,BUY,0
TRD000245,ACC066,BRK001,CMP031,Market buy,15-04-2021,15:35:36,1,229.37,BUY,0
TRD000246,ACC044,BRK008,CMP078,Market buy,15-04-2021,15:39:18,12,57.71,BUY,0
TRD000247,ACC051,BRK001,CMP060,Market sell,16-04-2021,13:54:25,68,43.27,SELL,0
TRD000248,ACC018,BRK005,CMP060,Market buy,16-04-2021,13:55:38,65,43.43,BUY,0
TRD000249,ACC007,BRK012,CMP060,Market buy,16-04-2021,13:55:53,3,43.54,BUY,0
TRD000250,ACC035,BRK013,CMP050,Market sell,19-04-2021,13:53:10,18,132.5,SELL,0
TRD000251,ACC073,BRK005,CMP057,Market sell,19-04-2021,13:55:46,65,31.28,SELL,0
TRD000252,ACC037,BRK011,CMP050,Market buy,19-04-2021,13:54:05,17,132.66,BUY,0
TRD000253,ACC047,BRK008,CMP050,Market buy,19-04-2021,13:54:15,1,132.62,BUY,0
TRD000254,ACC043,BRK006,CMP057,Market buy,19-04-2021,13:57:30,62,31.49,BUY,0
TRD000255,ACC046,BRK008,CMP057,Market buy,19-04-2021,13:58:19,3,31.49,BUY,0
TRD000256,ACC056,BRK001,CMP051,Market sell,20-04-2021,14:53:17,83,8.7,SELL,0
TRD000257,ACC056,BRK008,CMP033,Market sell,20-04-2021,14:57:31,3,120.01,SELL,0
TRD000258,ACC033,BRK009,CMP051,Market buy,20-04-2021,14:54:11,81,8.71,BUY,0
TRD000259,ACC041,BRK002,CMP051,Market buy,20-04-2021,14:55:51,2,8.7,BUY,0
TRD000260,ACC048,BRK014,CMP033,Market buy,20-04-2021,14:58:15,3,120.13,BUY,0
TRD000261,ACC031,BRK011,CMP064,Market sell,21-04-2021,13:30:07,4,240.55,SELL,0
TRD000262,ACC013,BRK004,CMP064,Market buy,21-04-2021,13:46:04,4,243,BUY,0
TRD000263,ACC038,BRK007,CMP076,Market sell,22-04-2021,14:09:01,2,229.48,SELL,0
TRD000264,ACC058,BRK015,CMP037,Market sell,22-04-2021,16:47:33,12,43.31,SELL,0
TRD000265,ACC022,BRK012,CMP076,Market buy,22-04-2021,14:09:39,2,229.66,BUY,0
TRD000266,ACC023,BRK008,CMP075,Market buy,22-04-2021,14:39:11,1,218.77,BUY,0
TRD000267,ACC027,BRK007,CMP037,Market buy,22-04-2021,14:41:35,1,43.62,BUY,0
TRD000268,ACC057,BRK010,CMP037,Market buy,22-04-2021,16:48:13,12,43.46,BUY,0
TRD000269,ACC038,BRK003,CMP031,Market buy,26-04-2021,13:47:01,1,223.93,BUY,0
TRD000270,ACC048,BRK010,CMP037,Market buy,26-04-2021,13:49:38,1,43.32,BUY,0
TRD000271,ACC059,BRK010,CMP063,Market buy,26-04-2021,17:16:23,1,52.8,BUY,0
TRD000272,ACC053,BRK005,CMP035,Market buy,28-04-2021,13:30:06,1,162.93,BUY,0
